Index,Date_Observed,Day,TrapOrder,Waterbody,Site_ID,Site_Name,Site_Info,Trap_Number,Site.Elev.mllw,Latitude,Longitude,SiteNorthing,Trap_Type,Trap_Info,Species,Sex,CW_mm,Notes
45,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,80,
46,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,63,
47,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Female,44,
48,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,78,
49,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,71,
50,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,76,
51,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Male,75,
52,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Female,70,
53,8/7/25,1,1,Willapa Bay,,Stackpole,Low,1244G,0.98,46.59316,-124.02534,5160482.75,Fukui,,CAMA,Female,56,
31,8/7/25,1,3,Willapa Bay,,Stackpole,Low,21004R,0.98,46.59367,-124.02582,5160482.75,Fukui,,CAMA,Male,72,
32,8/7/25,1,3,Willapa Bay,,Stackpole,Low,21004R,0.98,46.59367,-124.02582,5160482.75,Fukui,,CAMA,Male,61,
33,8/7/25,1,3,Willapa Bay,,Stackpole,Low,21004R,0.98,46.59367,-124.02582,5160482.75,Fukui,,CAMA,Male,81,
34,8/7/25,1,3,Willapa Bay,,Stackpole,Low,21004R,0.98,46.59367,-124.02582,5160482.75,Fukui,,CAMA,Male,77,
85,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,56,
86,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Male,75,
87,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,70,
88,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,63,
89,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,61,
90,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Male,65,
91,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,63,
92,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,49,
93,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,52,
94,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,56,
95,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Male,67,
96,8/7/25,1,5,Willapa Bay,,Stackpole,Low,21005R,0.98,46.5935,-124.02569,5160482.75,Fukui,,CAMA,Female,64,
29,8/7/25,1,7,Willapa Bay,,Stackpole,Low,21006R,0.98,46.5938,-124.0259,5160482.75,Fukui,,CAMA,Male,68,
43,8/7/25,1,2,Willapa Bay,,Stackpole,Low,21013R,0.98,46.59322,-124.02543,5160482.75,Minnow,,CAMA,Female,58,
44,8/7/25,1,2,Willapa Bay,,Stackpole,Low,21013R,0.98,46.59322,-124.02543,5160482.75,Minnow,,CAMA,Male,63,
35,8/7/25,1,4,Willapa Bay,,Stackpole,Low,21033R,0.98,46.59375,-124.02587,5160482.75,Minnow,,CAMA,Female,55,
36,8/7/25,1,4,Willapa Bay,,Stackpole,Low,21033R,0.98,46.59375,-124.02587,5160482.75,Minnow,,CAMA,Female,58,
37,8/7/25,1,4,Willapa Bay,,Stackpole,Low,21033R,0.98,46.59375,-124.02587,5160482.75,Minnow,,CAMA,Female,55,
38,8/7/25,1,4,Willapa Bay,,Stackpole,Low,21033R,0.98,46.59375,-124.02587,5160482.75,Minnow,,CAMA,Female,55,
39,8/7/25,1,6,Willapa Bay,,Stackpole,Low,21036R,0.98,46.59339,-124.02559,5160482.75,Minnow,,CAMA,Male,70,
40,8/7/25,1,6,Willapa Bay,,Stackpole,Low,21036R,0.98,46.59339,-124.02559,5160482.75,Minnow,,CAMA,Female,57,
41,8/7/25,1,6,Willapa Bay,,Stackpole,Low,21036R,0.98,46.59339,-124.02559,5160482.75,Minnow,,CAMA,Female,55,
42,8/7/25,1,6,Willapa Bay,,Stackpole,Low,21036R,0.98,46.59339,-124.02559,5160482.75,Minnow,,CAMA,Female,57,
30,8/7/25,1,8,Willapa Bay,,Stackpole,Low,21072R,0.98,46.59332,-124.02549,5160482.75,Fukui,,CAMA,NA,74,SEX NOT DETERMINED
27,8/7/25,1,9,Willapa Bay,,Stackpole,Low,21104R,0.98,46.59358,-124.02576,5160482.75,Minnow,,CAMA,Female,61,
28,8/7/25,1,9,Willapa Bay,,Stackpole,Low,21104R,0.98,46.59358,-124.02576,5160482.75,Minnow,,CAMA,Female,61,
54,8/7/25,1,10,Willapa Bay,,Stackpole,Low,21195R,0.98,46.59306,-124.02526,5160482.75,Minnow,,CAMA,Male,60,
55,8/7/25,1,10,Willapa Bay,,Stackpole,Low,21195R,0.98,46.59306,-124.02526,5160482.75,Minnow,,CAMA,Female,61,
56,8/7/25,1,10,Willapa Bay,,Stackpole,Low,21195R,0.98,46.59306,-124.02526,5160482.75,Minnow,,CAMA,Female,50,
70,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,68,
71,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,63,Missing abdomen
72,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,64,
73,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Female,47,
74,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,69,Missing maxilloped
75,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,38,
76,8/7/25,1,11,Willapa Bay,,Stackpole,Marsh,1201G,1.84,46.59263,-124.03059,5160482.75,Fukui,,CAMA,Male,57,
77,8/7/25,1,13,Willapa Bay,,Stackpole,Marsh,1219G,1.84,46.59242,-124.03051,5160482.75,Fukui,,CAMA,Male,50,
78,8/7/25,1,13,Willapa Bay,,Stackpole,Marsh,1219G,1.84,46.59242,-124.03051,5160482.75,Fukui,,CAMA,Male,33,
65,8/7/25,1,12,Willapa Bay,,Stackpole,Marsh,21024R,1.84,46.59197,-124.0298,5160482.75,Minnow,,CAMA,Male,59,
66,8/7/25,1,12,Willapa Bay,,Stackpole,Marsh,21024R,1.84,46.59197,-124.0298,5160482.75,Minnow,,CAMA,Female,50,
57,8/7/25,1,14,Willapa Bay,,Stackpole,Marsh,21046R,1.84,46.59203,-124.03002,5160482.75,Minnow,,CAMA,Male,56,
58,8/7/25,1,14,Willapa Bay,,Stackpole,Marsh,21046R,1.84,46.59203,-124.03002,5160482.75,Minnow,,CAMA,Male,52,
59,8/7/25,1,15,Willapa Bay,,Stackpole,Marsh,21066R,1.84,46.59209,-124.03014,5160482.75,Fukui,,CAMA,Male,61,
60,8/7/25,1,15,Willapa Bay,,Stackpole,Marsh,21066R,1.84,46.59209,-124.03014,5160482.75,Fukui,,CAMA,Female,45,
67,8/7/25,1,16,Willapa Bay,,Stackpole,Marsh,21073R,1.84,46.59216,-124.03024,5160482.75,Minnow,,CAMA,Female,54,
68,8/7/25,1,16,Willapa Bay,,Stackpole,Marsh,21073R,1.84,46.59216,-124.03024,5160482.75,Minnow,,CAMA,Male,62,
69,8/7/25,1,16,Willapa Bay,,Stackpole,Marsh,21073R,1.84,46.59216,-124.03024,5160482.75,Minnow,,CAMA,Male,50,
79,8/7/25,1,18,Willapa Bay,,Stackpole,Marsh,21078R,1.84,46.5925,-124.03053,5160482.75,Minnow,,CAMA,Male,31,
80,8/7/25,1,18,Willapa Bay,,Stackpole,Marsh,21078R,1.84,46.5925,-124.03053,5160482.75,Minnow,,CAMA,Female,40,
81,8/7/25,1,18,Willapa Bay,,Stackpole,Marsh,21078R,1.84,46.5925,-124.03053,5160482.75,Minnow,,CAMA,Male,41,
82,8/7/25,1,18,Willapa Bay,,Stackpole,Marsh,21078R,1.84,46.5925,-124.03053,5160482.75,Minnow,,CAMA,Male,54,
83,8/7/25,1,17,Willapa Bay,,Stackpole,Marsh,21099R,1.84,46.5923,-124.03062,5160482.75,Fukui,,CAMA,Female,59,
84,8/7/25,1,17,Willapa Bay,,Stackpole,Marsh,21099R,1.84,46.5923,-124.03062,5160482.75,Fukui,,CAMA,Male,45,
61,8/7/25,1,19,Willapa Bay,,Stackpole,Marsh,21117R,1.84,46.59198,-124.0299,5160482.75,Fukui,,CAMA,Male,80,
62,8/7/25,1,19,Willapa Bay,,Stackpole,Marsh,21117R,1.84,46.59198,-124.0299,5160482.75,Fukui,,CAMA,Female,49,
63,8/7/25,1,19,Willapa Bay,,Stackpole,Marsh,21117R,1.84,46.59198,-124.0299,5160482.75,Fukui,,CAMA,Female,57,
64,8/7/25,1,19,Willapa Bay,,Stackpole,Marsh,21117R,1.84,46.59198,-124.0299,5160482.75,Fukui,,CAMA,Male,50,
10,8/7/25,1,20,Willapa Bay,,Stackpole,Mid,1217G,1.27,46.59278,-124.0283,5160482.75,Fukui,,CAMA,Male,67,
11,8/7/25,1,20,Willapa Bay,,Stackpole,Mid,1217G,1.27,46.59278,-124.0283,5160482.75,Fukui,,CAMA,Male,60,
12,8/7/25,1,20,Willapa Bay,,Stackpole,Mid,1217G,1.27,46.59278,-124.0283,5160482.75,Fukui,,CAMA,Male,68,
21,8/7/25,1,22,Willapa Bay,,Stackpole,Mid,1248G,1.27,46.59302,-124.02846,5160482.75,Fukui,,CAMA,Male,50,
1,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Female,23,
2,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Male,60,
3,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Male,45,
4,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Male,46,
5,8/7/25,1,24,Willapa Bay,,Stackpole,Mid,1260G,1.27,46.59322,-124.02859,5160482.75,Fukui,,CAMA,Female,58,
